Ticker,CompanyName,LineItem,Year,Quarter,WebFiscalPeriod,OutputOrField,NumberOnly,LineSequence,Category,WebNumberFormat,QuarterEndDate,PeriodType,iDataType,Sector,Industry,SubIndustry,UpdateDate,LTCode,Currency,UIC,Period,Restatement,InSncUpdateDate,Scaler
AAP,Advance Auto Parts Inc,Total Revenue,2010,1Q,1Q10,A,1830.606,1,IS,N,3/31/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,5/19/2010,IS_P_101,USD,I_387-101,Q1,0,5/19/2010,Mn
AAP,Advance Auto Parts Inc,  Y/Y - Total Revenue,2010,1Q,1Q10,A,0.087293215,2,IS,P,3/31/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,5/19/2010,IS_P_101-Y,,I_387-101-Y,Q1,0,5/19/2010,
AAP,Advance Auto Parts Inc,Total Revenue,2010,2Q,2Q10,A,1417.956,1,IS,N,6/30/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,8/11/2010,IS_P_101,USD,I_387-101,Q2,0,8/11/2010,Mn
AAP,Advance Auto Parts Inc,  Y/Y - Total Revenue,2010,2Q,2Q10,A,0.071899634,2,IS,P,6/30/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,8/11/2010,IS_P_101-Y,,I_387-101-Y,Q2,0,8/11/2010,
AAP,Advance Auto Parts Inc,Total Revenue,2010,3Q,3Q10,A,1406.511,1,IS,N,9/30/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,11/11/2010,IS_P_101,USD,I_387-101,Q3,0,11/11/2010,Mn
AAP,Advance Auto Parts Inc,  Y/Y - Total Revenue,2010,3Q,3Q10,A,0.114001058,2,IS,P,9/30/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,11/11/2010,IS_P_101-Y,,I_387-101-Y,Q3,0,11/11/2010,
AAP,Advance Auto Parts Inc,Total Revenue,2010,4Q,4Q10,A,1270.13,1,IS,N,12/31/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/17/2011,IS_P_101,USD,I_387-101,Q4,0,2/17/2011,Mn
AAP,Advance Auto Parts Inc,  Y/Y - Total Revenue,2010,4Q,4Q10,A,0.110673883,2,IS,P,12/31/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/17/2011,IS_P_101-Y,,I_387-101-Y,Q4,0,2/17/2011,
AAP,Advance Auto Parts Inc,Total Revenue,2010,FY,2010,A,5925.203,1,IS,N,12/31/2010,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/17/2011,IS_P_101,USD,I_387-101,FY,0,2/17/2011,Mn
AAP,Advance Auto Parts Inc,  Y/Y - Total Revenue,2010,FY,2010,A,0.09470085,2,IS,P,12/31/2010,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/17/2011,IS_P_101-Y,,I_387-101-Y,FY,0,2/17/2011,
AAP,Advance Auto Parts Inc,Total Revenue,2011,1Q,1Q11,A,1898.063,1,IS,N,3/31/2011,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,5/18/2011,IS_P_101,USD,I_387-101,Q1,0,5/18/2011,Mn
AAP,Advance Auto Parts Inc,  Y/Y - Total Revenue,2011,1Q,1Q11,A,0.036849546,2,IS,P,3/31/2011,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,5/18/2011,IS_P_101-Y,,I_387-101-Y,Q1,0,5/18/2011,
