,price_date,ADBE_five_day_alpha_shifted,ADBE_rdate,ADBE_fdate,ADBE_surprisepct
116,2012-06-19,-0.020163402507743115,2012-06-19,2012-05-31,1.6949
180,2012-09-19,0.00851928914015752,2012-09-19,2012-08-31,0.0
238,2012-12-13,0.053594282795310574,2012-12-13,2012-11-30,7.0175
302,2013-03-19,0.0374409822313483,2013-03-19,2013-02-28,12.9032
365,2013-06-18,0.05252220210305221,2013-06-18,2013-05-31,5.8824
428,2013-09-17,0.07466454405790056,2013-09-17,2013-08-31,-5.8824
489,2013-12-12,0.05061514429646968,2013-12-12,2013-11-30,0.0
553,2014-03-18,-0.035476077213633286,2014-03-18,2014-02-28,20.0
616,2014-06-17,0.06370425734099296,2014-06-17,2014-05-31,23.3333
679,2014-09-16,-0.03217548842059775,2014-09-16,2014-08-31,7.6923
740,2014-12-11,0.06125336403888409,2014-12-11,2014-11-30,20.0
804,2015-03-17,-0.061421961641615674,2015-03-17,2015-02-28,12.8205
867,2015-06-16,0.029451616406499757,2015-06-16,2015-05-31,6.6667
932,2015-09-17,0.07504988777176452,2015-09-17,2015-08-31,8.0
991,2015-12-10,0.06326306122697117,2015-12-10,2015-11-30,3.3333
1057,2016-03-17,0.03173088745785853,2016-03-17,2016-02-29,8.1967
1123,2016-06-21,-0.041965036049500026,2016-06-21,2016-05-31,4.4118
1186,2016-09-20,0.07639405039711046,2016-09-20,2016-08-31,4.1667
1247,2016-12-15,-0.00310527076938014,2016-12-15,2016-11-30,4.6512
1308,2017-03-16,0.05043755250311448,2017-03-16,2017-02-28,8.046
1374,2017-06-20,0.02043499159310235,2017-06-20,2017-05-31,7.3684
1437,2017-09-19,-0.06617228919768695,2017-09-19,2017-08-31,8.9109
1498,2017-12-14,-0.022468420483147185,2017-12-14,2017-11-30,8.6207
1559,2018-03-15,0.049042971304876413,2018-03-15,2018-02-28,7.6389
1622,2018-06-14,-0.0214079201513399,2018-06-14,2018-05-31,7.7922
1685,2018-09-13,-0.024567222632817035,2018-09-13,2018-08-31,2.3669
1748,2018-12-13,0.01951382178948957,2018-12-13,2018-11-30,1.0638
1809,2019-03-14,-0.03732878060179828,2019-03-14,2019-02-28,1.8519
1875,2019-06-18,0.04175409563722172,2019-06-18,2019-05-31,2.809
1938,2019-09-17,-0.028799083580495908,2019-09-17,2019-08-31,4.0609
1999,2019-12-12,0.05656910149288173,2019-12-12,2019-11-30,1.3274
2060,2020-03-12,0.12023000493488561,2020-03-12,2020-02-29,-1.3453
2123,2020-06-11,0.047975413573856505,2020-06-11,2020-05-31,5.1502
2189,2020-09-15,0.018311822656205373,2020-09-15,2020-08-31,6.639
2250,2020-12-10,0.021824484961672903,2020-12-10,2020-11-30,5.6391
2319,2021-03-23,-0.00872595377743434,2021-03-23,2021-02-28,12.9496
2379,2021-06-17,0.03701635305479399,2021-06-17,2021-05-31,7.8292
2445,2021-09-21,-0.10410205032442119,2021-09-21,2021-08-31,3.3223
2506,2021-12-16,-0.016768300006264104,2021-12-16,2021-11-30,0.0
2571,2022-03-22,-0.046934172938384165,2022-03-22,2022-02-28,0.8982
2631,2022-06-16,-0.026082080302478064,2022-06-16,2022-05-31,1.2085
2693,2022-09-15,-0.011662943761436409,2022-09-15,2022-08-31,2.1021
2757,2022-12-15,0.04756523685801711,2022-12-15,2022-11-30,2.8571
2817,2023-03-15,0.06624460638373199,2023-03-15,2023-02-28,3.2609
