,price_date,LMT_five_day_alpha_shifted,LMT_rdate,LMT_fdate,LMT_surprisepct
79,2012-04-26,-0.019807420371651643,2012-04-26,2012-03-31,18.8235
140,2012-07-24,-0.003402569720544601,2012-07-24,2012-06-30,24.6073
205,2012-10-24,-0.003926044305968775,2012-10-24,2012-09-30,19.4595
265,2013-01-24,-0.07057744211591846,2013-01-24,2012-12-31,4.9451
326,2013-04-23,0.01322462229682501,2013-04-23,2013-03-31,14.2157
389,2013-07-23,0.021234550976837522,2013-07-23,2013-06-30,20.0
453,2013-10-22,0.017202764386942595,2013-10-22,2013-09-30,13.7168
516,2014-01-23,0.0073896040525282085,2014-01-23,2013-12-31,4.6154
577,2014-04-22,0.03458993580963859,2014-04-22,2014-03-31,13.4387
640,2014-07-22,0.015117780666192836,2014-07-22,2014-06-30,3.7594
704,2014-10-21,0.058242890038582434,2014-10-21,2014-09-30,1.845
770,2015-01-27,-0.0020995266583268436,2015-01-27,2014-12-31,5.614
828,2015-04-21,-0.020460448619268705,2015-04-21,2015-03-31,9.6
890,2015-07-20,0.0037878014490593352,2015-07-20,2015-06-30,10.5263
955,2015-10-20,0.05564145898214737,2015-10-20,2015-09-30,4.4118
1021,2016-01-26,0.0026100201801688965,2016-01-26,2015-12-31,-2.381
1084,2016-04-26,0.01629817321620636,2016-04-26,2016-03-31,-0.3861
1142,2016-07-19,-0.017261676455861664,2016-07-19,2016-06-30,11.9454
1211,2016-10-25,-0.009891401185587016,2016-10-25,2016-09-30,13.9373
1272,2017-01-24,-0.006050945978918849,2017-01-24,2016-12-31,6.5574
1335,2017-04-25,-0.002541392132124314,2017-04-25,2017-03-31,7.5269
1393,2017-07-18,0.004688020477736843,2017-07-18,2017-06-30,3.8585
1462,2017-10-24,-0.01710820932636801,2017-10-24,2017-09-30,-0.6135
1527,2018-01-29,0.02906081582531783,2018-01-29,2017-12-31,-4.914
1586,2018-04-24,-0.08926025118939263,2018-04-24,2018-03-31,18.2353
1649,2018-07-24,0.01186163807381093,2018-07-24,2018-06-30,9.949
1713,2018-10-23,-0.07682912131244546,2018-10-23,2018-09-30,19.2575
1778,2019-01-29,-0.004185397734151598,2019-01-29,2018-12-31,-0.2273
1836,2019-04-23,-0.003853470485629908,2019-04-23,2019-03-31,32.0276
1899,2019-07-23,0.021554505559096604,2019-07-23,2019-06-30,4.8218
1963,2019-10-22,-0.015635005480546235,2019-10-22,2019-09-30,12.749
2029,2020-01-28,-0.01821473776312314,2020-01-28,2019-12-31,5.169
2087,2020-04-21,-0.013705547435177351,2020-04-21,2020-03-31,4.8276
2150,2020-07-21,0.04145126306812845,2020-07-21,2020-06-30,7.1678
2214,2020-10-20,-0.015740445911385494,2020-10-20,2020-09-30,2.6273
2280,2021-01-26,0.008082089198793212,2021-01-26,2020-12-31,0.78
2338,2021-04-20,-0.04091366292027959,2021-04-20,2021-03-31,2.6941
2405,2021-07-26,0.006576612322343845,2021-07-26,2021-06-30,9.1884
2470,2021-10-26,-0.023045302617525666,2021-10-26,2021-09-30,12.1827
2532,2022-01-25,-0.007446791833786158,2022-01-25,2021-12-31,4.3296
2590,2022-04-19,-0.04657127390334247,2022-04-19,2022-03-31,3.7037
2652,2022-07-19,0.018074299150062288,2022-07-19,2022-06-30,-32.948
2716,2022-10-18,0.04254469969446861,2022-10-18,2022-09-30,0.7508
2782,2023-01-24,0.02752362522805258,2023-01-24,2022-12-31,0.1353
2840,2023-04-18,-0.04688423188612607,2023-04-18,2023-03-31,9.0759
