,price_date,LOW_five_day_alpha_shifted,LOW_rdate,LOW_fdate,LOW_surprisepct
96,2012-05-21,0.06864305624516281,2012-05-21,2012-04-30,4.7619
159,2012-08-20,0.06102108555235057,2012-08-20,2012-07-31,-7.1429
221,2012-11-19,0.03159671110357011,2012-11-19,2012-10-31,14.2857
286,2013-02-25,0.03488567738591037,2013-02-25,2013-01-31,13.0435
347,2013-05-22,-0.006631918484035824,2013-05-22,2013-04-30,-3.9216
410,2013-08-21,0.01712875743613968,2013-08-21,2013-07-31,11.3924
474,2013-11-20,-0.004708536630107733,2013-11-20,2013-10-31,-2.0833
539,2014-02-26,-0.0185299215891594,2014-02-26,2014-01-31,0.0
598,2014-05-21,0.01694089988994522,2014-05-21,2014-04-30,-3.3333
661,2014-08-20,-0.003270442538495401,2014-08-20,2014-07-31,1.9608
725,2014-11-19,-0.0015276715820540885,2014-11-19,2014-10-31,1.7241
790,2015-02-25,0.0017029576344166882,2015-02-25,2015-01-31,6.9767
849,2015-05-20,0.030653074915167715,2015-05-20,2015-04-30,-5.4054
912,2015-08-19,-0.02301658001268945,2015-08-19,2015-07-31,-3.2258
976,2015-11-18,0.05322139824656343,2015-11-18,2015-10-31,2.5641
1041,2016-02-24,-0.02331948948362861,2016-02-24,2016-01-31,0.0
1100,2016-05-18,-0.0015109328566617862,2016-05-18,2016-04-30,2.3529
1163,2016-08-17,0.002552415856500636,2016-08-17,2016-07-31,-3.5211
1227,2016-11-16,0.05921356080393414,2016-11-16,2016-10-31,-8.3333
1297,2017-03-01,0.025701564404689806,2017-03-01,2017-01-31,8.8608
1356,2017-05-24,-0.004726869149716251,2017-05-24,2017-04-30,-2.8302
1419,2017-08-23,0.00516840807609729,2017-08-23,2017-07-31,-2.4845
1482,2017-11-21,0.03128817719077383,2017-11-21,2017-10-31,2.9412
1548,2018-02-28,-0.043565589934158586,2018-02-28,2018-01-31,-14.9425
1607,2018-05-23,0.014700592139268684,2018-05-23,2018-04-30,-2.459
1670,2018-08-22,0.019098470117081198,2018-08-22,2018-07-31,2.4752
1733,2018-11-20,0.044083546998966106,2018-11-20,2018-10-31,6.1224
1798,2019-02-27,-0.042318502949427024,2019-02-27,2019-01-31,3.8961
1857,2019-05-22,-0.013049205109477265,2019-05-22,2019-04-30,-8.2707
1920,2019-08-21,0.013663321711589075,2019-08-21,2019-07-31,6.9652
1984,2019-11-20,-0.007197951629491292,2019-11-20,2019-10-31,4.4444
2049,2020-02-26,-0.004429866143228681,2020-02-26,2020-01-31,3.2967
2108,2020-05-20,0.06814306792525798,2020-05-20,2020-04-30,34.0909
2171,2020-08-19,0.05058912461851162,2020-08-19,2020-07-31,27.1186
2235,2020-11-18,0.03803334099912435,2020-11-18,2020-10-31,-0.5025
2300,2021-02-24,-0.009019866572155078,2021-02-24,2021-01-31,9.9174
2359,2021-05-19,-0.009496999613145433,2021-05-19,2021-04-30,22.5191
2422,2021-08-18,0.020700688979798598,2021-08-18,2021-07-31,5.985
2486,2021-11-17,0.025892124539013878,2021-11-17,2021-10-31,15.678
2552,2022-02-23,0.028666075979334453,2022-02-23,2022-01-31,4.0936
2611,2022-05-18,0.01438548970339918,2022-05-18,2022-04-30,9.0062
2673,2022-08-17,-0.0044523529734460734,2022-08-17,2022-07-31,1.9651
2737,2022-11-16,-0.039896898966789336,2022-11-16,2022-10-31,5.4839
2807,2023-03-01,0.02371333578225806,2023-03-01,2023-01-31,3.1674
