fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,ticker
2023-06-30,2023-07-26,10.22,10.09,0.13,1.2884,ORLY
2023-03-31,2023-04-26,8.28,8,0.28,3.5,ORLY
2022-12-31,2023-02-08,8.37,7.75,0.62,8,ORLY
2022-09-30,2022-10-26,9.17,8.5,0.67,7.8824,ORLY
2022-06-30,2022-07-27,8.78,8.96,-0.18,-2.0089,ORLY
2022-03-31,2022-04-27,7.17,7.48,-0.31,-4.1444,ORLY
2021-12-31,2022-02-09,7.64,6.05,1.59,26.281,ORLY
2021-09-30,2021-10-27,8.07,7.19,0.88,12.2392,ORLY
2021-06-30,2021-07-28,8.33,7.56,0.77,10.1852,ORLY
2021-03-31,2021-04-28,7.06,5.47,1.59,29.0676,ORLY
2020-12-31,2021-02-10,5.4,5.13,0.27,5.2632,ORLY
2020-09-30,2020-10-28,7.07,6.4,0.67,10.4688,ORLY
2020-06-30,2020-07-29,7.1,4.3,2.8,65.1163,ORLY
2020-03-31,2020-04-22,3.97,3.95,0.02,0.5063,ORLY
2019-12-31,2020-02-05,4.25,4.27,-0.02,-0.4684,ORLY
2019-09-30,2019-10-23,5.08,4.79,0.29,6.0543,ORLY
2019-06-30,2019-07-24,4.51,4.67,-0.16,-3.4261,ORLY
2019-03-31,2019-04-24,4.05,4.05,0,0,ORLY
2018-12-31,2019-02-06,3.72,3.75,-0.03,-0.8,ORLY
2018-09-30,2018-10-24,4.5,4.3,0.2,4.6512,ORLY
2018-06-30,2018-07-25,4.28,4.06,0.22,5.4187,ORLY
2018-03-31,2018-04-25,3.61,3.58,0.03,0.838,ORLY
2017-12-31,2018-02-07,2.9,2.77,0.13,4.6931,ORLY
2017-09-30,2017-10-25,3.22,3.15,0.07,2.2222,ORLY
2017-06-30,2017-07-26,3.04,2.89,0.15,5.1903,ORLY
2017-03-31,2017-04-26,2.6,2.88,-0.28,-9.7222,ORLY
2016-12-31,2017-02-07,2.59,2.54,0.05,1.9685,ORLY
